window,n_layers,top_k,d_model,d_ffn_ratio,dropout,lr,mse,variance
1000,1,1,2,1,0.1,0.0001,0.182839309,
1000,4,1,2,1,0.1,0.0001,0.191210835,
1000,8,1,2,1,0.1,0.0001,1.128229839,
,,,,,,,,0.295306325
1000,1,1,2,1,0.1,0.0001,0.230952644,
1000,1,4,2,1,0.1,0.0001,0.160100503,
1000,1,8,2,1,0.1,0.0001,0.166945583,
,,,,,,,,0.001527297
1000,1,1,16,1,0.1,0.0001,0.177792829,
1000,1,1,64,1,0.1,0.0001,0.251228908,
1000,1,1,128,1,0.1,0.0001,0.247724366,
,,,,,,,,0.001715927
1000,1,1,16,1,0.1,0.0001,0.170899199,
1000,1,1,16,2,0.1,0.0001,0.219798445,
1000,1,1,16,3,0.1,0.0001,0.213071987,
1000,1,1,16,4,0.1,0.0001,0.244309397,
,,,,,,,,0.000931712
1000,1,1,16,1,0.1,0.0001,0.266697704,
1000,1,1,16,1,0.2,0.0001,0.169588007,
1000,1,1,16,1,0.3,0.0001,0.144474639,
1000,1,1,16,1,0.4,0.0001,0.158774155,
,,,,,,,,0.003080697
1000,1,1,16,1,0.3,0.0001,0.191818596,
1000,1,1,16,1,0.3,0.001,0.174090449,
1000,1,1,16,1,0.3,0.01,14.32559198,
1000,1,1,16,1,0.3,0.1,6.810670204,
,,,,,,,,45.36302474
1000,1,1,16,1,0.3,0.0001,0.191818596,
1000,1,1,16,1,0.3,0.0001,0.153751951,
1000,1,1,16,1,0.3,0.0001,0.175064409,
1000,1,1,16,1,0.3,0.0001,0.166153058,
,,,,,,,,0.000256326
