model,window_size,masking_rate,pattern_type,mae,mse,
linear,1000,0.18,subseq,0.0695,0.0225,
global_mean,1000,0.18,subseq,0.4098,0.3948,
global_median,1000,0.18,subseq,0.3934,0.4267,
rolling_mean,1000,0.18,subseq,0.2982,0.2705,
rolling_median,1000,0.18,subseq,0.3012,0.3116,
LOCF / NOCB,1000,0.18,subseq,0.3012,0.1015,
TimesNet,1000,0.18,subseq,0.3319,0.2526,
SAITS,1000,0.18,subseq,0.0958,0.0348,
CSDI,1000,0.18,subseq,0.6238,0.8435,
TimeMixer,1000,0.18,subseq,0.266,0.1747,
,,,,,,
linear,1000,0.1,subseq,0.0643,0.0184,
global_mean,1000,0.1,subseq,0.4085,0.3955,
global_median,1000,0.1,subseq,0.392,0.4256,
rolling_mean,1000,0.1,subseq,0.2954,0.2658,
rolling_median,1000,0.1,subseq,0.2993,0.3104,
LOCF / NOCB,1000,0.1,subseq,0.118,0.079,
TimesNet,1000,0.1,subseq,0.3446,0.2468,
SAITS,1000,0.1,subseq,0.0865,0.0275,
CSDI,1000,0.1,subseq,0.6142,0.8814,
TimeMixer,1000,0.1,subseq,0.2849,0.1846,
,,,,,,
linear,1000,0.05,subseq,0.0634,0.0181,
global_mean,1000,0.05,subseq,0.4048,0.3941,
global_median,1000,0.05,subseq,0.3909,0.4305,
rolling_mean,1000,0.05,subseq,0.2949,0.2783,
rolling_median,1000,0.05,subseq,0.2966,0.3199,
LOCF / NOCB,1000,0.05,subseq,0.1155,0.0815,
TimesNet,1000,0.05,subseq,0.3191,0.2048,
SAITS,1000,0.05,subseq,0.099,0.0283,
CSDI,1000,0.05,subseq,0.5939,0.8357,
TimeMixer,1000,0.05,subseq,0.2847,0.1791,
,,,,,,
linear,1000,0.01,subseq,0.0607,0.0149,
global_mean,1000,0.01,subseq,0.4,0.3619,
global_median,1000,0.01,subseq,0.3806,0.3821,
rolling_mean,1000,0.01,subseq,0.2964,0.2559,
rolling_median,1000,0.01,subseq,0.2969,0.3053,
