n_layers,top_k,d_model,d_ffn_ratio,dropout,lr,mse,var
,,,,,,,
1,1,2,4,0.1,0.0001,0.154805278,
3,1,2,4,0.1,0.0001,0.251583451,
5,1,2,4,0.1,0.0001,0.1734579,
,,,,,,,0.002636256
1,1,16,1,0.3,0.001,0.160180746,
1,4,16,1,0.3,0.001,0.162319705,
1,8,16,1,0.3,0.001,0.167783204,
,,,,,,,1.53704E-05
1,1,2,1,0.3,0.001,0.148287335,
1,1,16,1,0.3,0.001,0.178965281,
1,1,64,1,0.3,0.001,0.223526967,
,,,,,,,0.001431314
1,1,2,1,0.3,0.001,0.159300832,
1,1,2,4,0.3,0.001,0.141451122,
1,1,2,8,0.3,0.001,0.154349254,
,,,,,,,8.49154E-05
1,1,2,4,0.1,0.001,0.170090629,
1,1,2,4,0.3,0.001,0.141538045,
1,1,2,4,0.5,0.001,0.12970454,
,,,,,,,0.000431053
1,1,2,4,0.1,0.0001,0.113246105,
1,1,2,4,0.1,0.001,0.140638023,
1,1,2,4,0.1,0.01,0.438942903,
1,1,2,4,0.1,0.1,1.153807147,
,,,,,,,0.234677031
