n_layers,n_heads,n_channels,d_time_embedding,d_feature_embedding,d_diffusion_embedding,n_diffusion_steps,batch_size,lr,mse,
1,1,8,32,8,32,1,16,0.001,2.112931908,
4,1,8,32,8,32,1,16,0.001,2.110878909,
8,1,8,32,8,32,1,16,0.001,2.112207434,
,,,,,,,,,,1.08411E-06
1,1,8,32,8,32,1,16,0.001,2.093509715,
1,4,8,32,8,32,1,16,0.001,2.096268974,
1,8,8,32,8,32,1,16,0.001,2.104597471,
,,,,,,,,,,3.33193E-05
1,1,4,32,8,32,1,16,0.001,2.113471184,
1,1,8,32,8,32,1,16,0.001,2.112146753,
1,1,16,32,8,32,1,16,0.001,2.112459581,
,,,,,,,,,,4.79219E-07
1,1,4,2,8,32,1,16,0.001,2.099851475,
1,1,4,8,8,32,1,16,0.001,2.091169819,
1,1,4,32,8,32,1,16,0.001,2.097344854,
,,,,,,,,,,1.99642E-05
1,1,4,8,2,32,1,16,0.001,2.106868091,
1,1,4,8,8,32,1,16,0.001,2.099174562,
1,1,4,8,16,32,1,16,0.001,2.104866937,
,,,,,,,,,,1.5933E-05
1,1,4,8,8,8,1,16,0.001,2.102862715,
1,1,4,8,8,16,1,16,0.001,2.1095481,
1,1,4,8,8,32,1,16,0.001,2.103253091,
,,,,,,,,,,1.4079E-05
1,1,4,8,8,8,1,16,0.001,2.093329927,
1,1,4,8,8,8,4,16,0.001,0.840803627,
1,1,4,8,8,8,8,16,0.001,1.124273961,
,,,,,,,,,,0.431374505
1,1,4,8,8,8,4,16,0.001,0.853820827,
1,1,4,8,8,8,4,32,0.001,0.828379312,
1,1,4,8,8,8,4,64,0.001,0.985307958,
1,1,4,8,8,8,4,128,0.001,0.79002649,
,,,,,,,,,,0.00718652
1,1,4,8,8,8,4,128,0.0001,0.792035043,
1,1,4,8,8,8,4,128,0.001,0.813351794,
1,1,4,8,8,8,4,128,0.01,0.891849252,
1,1,4,8,8,8,4,128,0.1,1.09943258,
,,,,,,,,,,0.019667119
