window size,n_layers,n_heads,d_k,d_v,d_ffn_ratio,batch_size,dropout,attn_dropout,lr,mse,variance
1000,1,1,32,32,2,16,0.2,0.2,0.001,0.036332387,
1000,3,1,32,32,2,16,0.2,0.2,0.001,0.041407979,
1000,5,1,32,32,2,16,0.2,0.2,0.001,0.042665683,
,,,,,,,,,,,1.12E-05
1000,1,1,32,32,2,16,0.2,0.2,0.001,0.038858487,
1000,1,4,32,32,2,16,0.2,0.2,0.001,0.03204532,
1000,1,8,32,32,2,16,0.2,0.2,0.001,0.034787233,
,,,,,,,,,,,1.18E-05
1000,1,4,16,32,2,16,0.2,0.2,0.001,0.036172684,
1000,1,4,64,32,2,16,0.2,0.2,0.001,0.041854364,
1000,1,4,256,32,2,16,0.2,0.2,0.001,0.155963362,
,,,,,,,,,,,0.004567159
1000,1,1,16,16,2,16,0.2,0.2,0.001,0.03963343,
1000,1,1,16,64,2,16,0.2,0.2,0.001,0.043651064,
1000,1,1,16,256,2,16,0.2,0.2,0.001,0.04293416,
,,,,,,,,,,,4.59E-06
1000,1,1,16,16,1,16,0.2,0.2,0.001,0.045245702,
1000,1,1,16,16,4,16,0.2,0.2,0.001,0.041774694,
1000,1,1,16,16,8,16,0.2,0.2,0.001,0.05063955,
1000,1,1,16,16,16,16,0.2,0.2,0.001,0.05378209,
,,,,,,,,,,,2.89E-05
1000,1,1,16,16,4,16,0.2,0.2,0.001,0.054971572,
1000,1,1,16,16,4,64,0.2,0.2,0.001,0.047399328,
1000,1,1,16,16,4,256,0.2,0.2,0.001,0.048870158,
,,,,,,,,,,,1.61E-05
1000,1,1,16,16,4,64,0,0.2,0.001,0.033132016,
1000,1,1,16,16,4,64,0.2,0.2,0.001,0.043107427,
1000,1,1,16,16,4,64,0.4,0.2,0.001,0.123832649,
,,,,,,,,,,,0.002473779
1000,1,1,16,16,4,64,0.2,0,0.001,0.035059426,
1000,1,1,16,16,4,64,0.2,0.2,0.001,0.051871879,
1000,1,1,16,16,4,64,0.2,0.4,0.001,0.050195589,
,,,,,,,,,,,8.58E-05
1000,1,1,16,16,4,64,0.2,0.2,0.0001,0.085884594,
1000,1,1,16,16,4,64,0.2,0.2,0.001,0.0435435,
1000,1,1,16,16,4,64,0.2,0.2,0.01,0.048564893,
,,,,,,,,,,,0.000535124
1000,1,1,16,16,4,64,0.2,0.2,0.001,0.0435435,
500,1,1,16,16,4,64,0.2,0.2,0.001,0.0334,
100,1,1,16,16,4,64,0.2,0.2,0.001,0.0402,
50,1,1,16,16,4,64,0.2,0.2,0.001,0.04,
,,,,,,,,,,,1.80388E-05
