window,batch_size,n_layers,top_k,d_model,d_ffn_ratio,n_kernels,dropout,lr,mse,variance
1000,16,3,2,16,1,1,0.3,0.001,0.858061578,
1000,64,3,2,16,1,1,0.3,0.001,0.859862387,
1000,256,3,2,16,1,1,0.3,0.001,0.856113289,
,,,,,,,,,,3.51575E-06
1000,256,1,2,16,1,1,0.3,0.001,0.864904695,
1000,256,4,2,16,1,1,0.3,0.001,0.8689988,
1000,256,7,2,16,1,1,0.3,0.001,0.888094484,
,,,,,,,,,,0.000153196
1000,256,1,1,16,1,1,0.3,0.001,0.868442242,
1000,256,1,3,16,1,1,0.3,0.001,0.879582817,
1000,256,1,5,16,1,1,0.3,0.001,0.876752222,
,,,,,,,,,,3.35301E-05
1000,256,1,1,16,1,1,0.3,0.001,0.876647144,
1000,256,1,1,64,1,1,0.3,0.001,0.86882193,
1000,256,1,1,256,1,1,0.3,0.001,0.865101671,
,,,,,,,,,,3.47287E-05
1000,256,1,1,256,1,1,0.3,0.001,0.8525877,
1000,256,1,1,256,2,1,0.3,0.001,0.852031192,
1000,256,1,1,256,3,1,0.3,0.001,0.853463396,
1000,256,1,1,256,4,1,0.3,0.001,0.856005396,
,,,,,,,,,,3.0887E-06
1000,256,1,1,256,2,1,0.3,0.001,0.854981836,
1000,256,1,1,256,2,3,0.3,0.001,0.320007865,
1000,256,1,1,256,2,5,0.3,0.001,0.208027853,
,,,,,,,,,,0.119547688
1000,256,1,1,256,2,1,0,0.001,0.859773943,
1000,256,1,1,256,2,1,0.2,0.001,0.855992427,
1000,256,1,1,256,2,1,0.4,0.001,0.854000119,
,,,,,,,,,,8.60103E-06
1000,256,1,1,256,2,1,0.3,0.01,0.853918541,
1000,256,1,1,256,2,1,0.3,0.001,0.857693186,
1000,256,1,1,256,2,1,0.3,0.0001,0.86051174,
,,,,,,,,,,0.000122332
1000,256,1,1,256,2,1,0.3,0.0001,0.86051174,
500,256,1,1,256,2,1,0.3,0.001,0.877361968,
100,256,1,1,256,2,1,0.3,0.001,0.878184172,
50,256,1,1,256,2,1,0.3,0.001,0.879641007,
,,,,,,,,,,8.08472E-05
